key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Alex Cappa-2018,Alex Cappa,94.0,T,Humboldt St.,2018.0,TAM,1,SMALL SCHOOL,23.0,24.0,97.0,42.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,8.04,26.5,305.0
Bilal Nichols-2018,Bilal Nichols,145.0,DT,Delaware,2018.0,CHI,9,SMALL SCHOOL,21.0,29.0,99.66784983785632,37.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.826646471968285,0.0,0.0,0.0,0.0,8.114776455609556,24.174752984206705,306.0
Brandon Parker-2018,Brandon Parker,65.0,T,North Carolina A&T,2018.0,OAK,8,SMALL SCHOOL,22.0,28.58895943499357,113.0,15.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0.0,7.82,28.5,305.0
Chase Edmonds-2018,Chase Edmonds,134.0,RB,Fordham,2018.0,ARI,3,SMALL SCHOOL,22.0,19.0,122.0,21.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,6.79,34.0,205.0
Chris Campbell-2018,Chris Campbell,257.0,CB,Penn State,2018.0,,100,Penn State,22.204826885413148,14.0,121.16337397487334,0.0,0.0,0.0,0.0,4.522688870982348,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19039019190918,0.0,0.0,0.0,0.0,6.929632244455908,35.073133617876394,194.0
Chris Herndon-2018,Chris Herndon,257.0,TE,Miami (FL),2018.0,,261,Miami (FL),22.817600350666943,21.0,115.24419394202988,0.0,0.0,0.0,0.0,4.800436917749015,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.396849354194984,0.0,0.0,0.0,0.0,7.2550988990630465,32.953729515487936,253.0
Chris Warren-2018,Chris Warren,257.0,RB,Texas,2018.0,,190,Texas,22.89226361511488,25.0,121.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0,6.98,33.0,247.0
Dallas Goedert-2018,Dallas Goedert,49.0,TE,South Dakota St.,2018.0,PHI,6,SMALL SCHOOL,23.0,23.0,117.11044136500107,35.0,0.0,0.0,0.0,4.766382837532487,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.366885372935793,0.0,0.0,0.0,0.0,7.203381543407012,33.78561829961153,256.0
Danny Johnson-2018,Danny Johnson,257.0,CB,Southern,2018.0,,5,SMALL SCHOOL,21.884831687969395,15.0,123.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165103618515246,0.0,0.0,0.0,0.0,6.911364972003886,35.0,185.0
Darius Jackson-2018,Darius Jackson,257.0,EDGE,Jacksonville State,2018.0,,4,SMALL SCHOOL,21.229287040604007,21.0,113.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.543698042085911,0.0,0.0,0.0,0.0,7.52,26.5,242.0
Darius Leonard-2018,Darius Leonard,257.0,OLB,South Carolina State,2018.0,,3,SMALL SCHOOL,22.728967125064347,17.0,116.81730408445709,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.340206334566339,0.0,0.0,0.0,0.0,7.166795934436267,33.644927711160804,234.0
Darren Carrington II-2018,Darren Carrington II,257.0,WR,Utah,2018.0,,146,Utah,22.419164451233385,14.372403861008706,120.0,0.0,0.0,0.0,0.0,4.546430944724603,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.187660083200598,0.0,0.0,0.0,0.0,6.931775276733021,36.0,199.0
Dashawn Hand-2018,Dashawn Hand,257.0,DE,Alabama,2018.0,,337,Alabama,22.440194028431527,28.0,111.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,7.98,31.5,297.0
Daurice Fountain-2018,Daurice Fountain,159.0,WR,Northern Iowa,2018.0,IND,13,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,0.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Davontae Harris-2018,Davontae Harris,151.0,CB,Illinois St.,2018.0,CIN,7,SMALL SCHOOL,23.0,22.0,123.0,5.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,6.96,32.5,200.0
Demario Richard-2018,Demario Richard,257.0,RB,Arizona State,2018.0,,70,Arizona State,21.850624665805903,12.0,115.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41693083444072,0.0,0.0,0.0,0.0,7.287734657924017,29.5,218.0
Desmond Harrison-2018,Desmond Harrison,257.0,OT,West Georgia,2018.0,,4,SMALL SCHOOL,23.673432106618538,23.894878274821792,113.61379300433832,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.500419339727119,0.0,0.0,0.0,0.0,7.3980276302914465,32.52452030863003,292.0
Dmontre Wade-2018,Dmontre Wade,257.0,CB,Murray State,2018.0,,1,SMALL SCHOOL,22.00003584458121,15.0,120.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,7.145865180185405,35.5,200.0
Donnie Ernsberger-2018,Donnie Ernsberger,257.0,RB,Western Michigan,2018.0,,22,SMALL SCHOOL,22.90477105890117,15.0,114.0,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,0.0,7.09,31.0,241.0
