key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Adrien Clarke-2004,Adrien Clarke,227.0,G,Ohio St.,2004.0,PHI,194,Ohio St.,23.0,24.43537070082664,102.0,8.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,7.9,26.0,329.0
Ahmad Childress-2004,Ahmad Childress,257.0,DT,Alabama,2004.0,,337,Alabama,21.156644097839802,31.487719965860265,86.0,0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,8.75,22.0,351.0
Alan Reuber-2004,Alan Reuber,257.0,OG,Texas A&M,2004.0,,182,Texas A&M,22.743335617378204,26.0,98.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,0.0,7.95,29.0,323.0
Alex Stepanovich-2004,Alex Stepanovich,100.0,C,Ohio St.,2004.0,ARI,194,Ohio St.,22.0,27.607333817336382,96.0,14.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,7.64,25.5,304.0
Anthony Hargrove-2004,Anthony Hargrove,91.0,DE,Georgia Tech,2004.0,STL,104,Georgia Tech,21.0,19.096265324069094,110.99281787154213,16.0,0.0,0.0,0.0,4.773341669232066,0.0,0.0,0.0,0.0,0.0,71.58859766562571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.418102583312976,0.0,0.0,0.0,0.0,7.383229781624388,30.68611188383457,217.02108352544712
Anthony Herrera-2004,Anthony Herrera,257.0,OG,Tennessee,2004.0,,207,Tennessee,22.665553162521,28.55217962409759,102.83119314686135,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71268753911815,0.0,0.0,0.0,0.0,7.826856098642727,28.862955279890883,315.0
Anthony Maddox-2004,Anthony Maddox,118.0,DT,Delta St.,2004.0,JAX,1,SMALL SCHOOL,25.0,21.440073873819472,120.70177948412291,7.0,0.0,0.0,0.0,4.771327341800957,0.0,0.0,0.0,0.0,0.0,77.56291848077042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336494302577987,0.0,0.0,0.0,0.0,7.061635900699986,36.51580424557709,286.29552646747413
Antonio Hall-2004,Antonio Hall,257.0,OG,Kentucky,2004.0,,118,Kentucky,21.87749123348404,27.0,101.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,8.12,26.5,317.0
Antonio Smith-2004,Antonio Smith,135.0,DE,Oklahoma St.,2004.0,ARI,55,Oklahoma St.,22.0,24.0,108.0,56.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,7.820521722092363,33.0,274.0
Antwan Odom-2004,Antwan Odom,57.0,DE,Alabama,2004.0,TEN,337,Alabama,22.0,21.0,114.0,24.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,7.3,37.0,274.0
