key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
A.C. Leonard-2014,A.C. Leonard,257.0,TE,Tennessee State,2014.0,,10,SMALL SCHOOL,23.72162212768526,20.0,128.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.309754032934457,0.0,0.0,0.0,0.0,7.048932928548007,34.0,252.0
A.D. Denham-2014,A.D. Denham,257.0,TE,Kansas,2014.0,,47,SMALL SCHOOL,22.678473068492515,17.5143171752608,116.83122624338301,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.339477734622181,0.0,0.0,0.0,0.0,7.133670729349049,32.5,235.0
Antonio Richardson-2014,Antonio Richardson,257.0,OT,Tennessee,2014.0,,207,Tennessee,22.06678061393333,36.0,98.30047306829488,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.80989453854135,0.0,0.0,0.0,0.0,7.948231699591846,24.5,336.0
Billy Turner-2014,Billy Turner,67.0,T,North Dakota St.,2014.0,MIA,19,SMALL SCHOOL,22.0,25.0,108.0,35.0,0.0,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,7.92,28.0,315.0
Brandon Dixon-2014,Brandon Dixon,195.0,DB,NW Missouri St.,2014.0,NYJ,5,SMALL SCHOOL,24.0,17.0,117.0,3.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,7.15,32.5,203.0
Caraun Reid-2014,Caraun Reid,158.0,DT,Princeton,2014.0,DET,6,SMALL SCHOOL,22.0,20.0,106.0,9.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,7.59,26.5,302.0
Conor Boffeli-2014,Conor Boffeli,257.0,OG,Iowa,2014.0,,203,Iowa,22.78904569408343,21.0,101.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,7.44,25.0,298.0
Cornelius Lucas-2014,Cornelius Lucas,257.0,OT,Kansas State,2014.0,,68,Kansas State,23.28422013474791,23.297790040349156,104.53120090065318,0.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705095663672722,0.0,0.0,0.0,0.0,7.729116160069775,28.666810250436072,316.0
Dakota Dozier-2014,Dakota Dozier,137.0,OL,Furman,2014.0,NYJ,10,SMALL SCHOOL,23.0,23.0,101.0,13.0,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,8.14,24.0,313.0
Demetrius Rhaney-2014,Demetrius Rhaney,250.0,OL,Tennessee St.,2014.0,STL,9,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,2.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Dustin Vaughan-2014,Dustin Vaughan,257.0,QB,West Texas A&M,2014.0,,9,SMALL SCHOOL,22.0416468610878,14.636369294489754,108.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,7.25,29.0,235.0
Ethan Westbrooks-2014,Ethan Westbrooks,257.0,DE,West Texas A&M,2014.0,,9,SMALL SCHOOL,22.868806063999525,19.0,110.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0,0.0,7.3,29.0,267.0
George Atkinson-2014,George Atkinson,257.0,RB,Notre Dame,2014.0,,240,Notre Dame,22.810327937499252,19.0,121.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,7.07,38.0,218.0
Howard Jones-2014,Howard Jones,257.0,OLB,Shepherd,2014.0,,3,SMALL SCHOOL,23.378113868199286,21.0,124.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,7.16,40.5,235.0
Isaiah Crowell-2014,Isaiah Crowell,257.0,RB,Arkansas,2014.0,,177,Arkansas,22.500779730879014,23.0,117.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.230588786546404,0.0,0.0,0.0,0.0,7.091928068486368,38.0,224.0
Jeff Janis-2014,Jeff Janis,236.0,WR,Saginaw Valley St.,2014.0,GNB,2,SMALL SCHOOL,23.0,20.0,123.0,2.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,6.64,37.5,219.0
Jeff Mathews-2014,Jeff Mathews,257.0,QB,Cornell,2014.0,,3,SMALL SCHOOL,21.43904914273568,11.239782629927248,105.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,7.14,25.5,223.0
