key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Alex Boone-2009,Alex Boone,257.0,OT,Ohio State,2009.0,,149,Ohio State,22.693492347710933,33.0,103.0,0.0,0.0,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,7.83,27.5,328.0
Alex Fletcher-2009,Alex Fletcher,257.0,C,Stanford,2009.0,,190,Stanford,21.61203947554108,30.0,96.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,7.78,28.0,297.0
Andrew Gardner-2009,Andrew Gardner,181.0,T,Georgia Tech,2009.0,MIA,104,Georgia Tech,23.0,27.333526948337635,109.66332885865306,7.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.604876398451701,0.0,0.0,0.0,0.0,7.619202617516903,30.14667335218961,304.0
Andy Kemp-2009,Andy Kemp,257.0,OG,Wisconsin,2009.0,,208,Wisconsin,22.32895681895749,23.0,91.0,0.0,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.0,7.86,25.5,313.0
Bernard Scott-2009,Bernard Scott,209.0,RB,Abilene Christian,2009.0,CIN,5,SMALL SCHOOL,25.0,21.0,125.0,9.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,6.82,36.0,200.0
Blake Schlueter-2009,Blake Schlueter,225.0,C,TCU,2009.0,DEN,143,TCU,23.0,20.268169598944326,115.8472986778325,0.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Branden Ore-2009,Branden Ore,257.0,RB,West Liberty,2009.0,,1,SMALL SCHOOL,21.554048118798335,21.0,112.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,7.35,36.0,214.0
Brooks Foster-2009,Brooks Foster,160.0,WR,North Carolina,2009.0,STL,160,North Carolina,23.0,20.268169598944326,115.8472986778325,0.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Chris Baker-2009,Chris Baker,257.0,DT,Kansas State,2009.0,,68,Kansas State,23.954584085223846,24.0,106.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,8.06,35.5,326.0
Cornelius Ingram-2009,Cornelius Ingram,153.0,TE,Florida,2009.0,PHI,304,Florida,24.0,21.0,122.3703827471381,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,0.0,0.0,7.12,33.0,245.0
