key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Aaron Corp-2012,Aaron Corp,257.0,QB,Richmond,2012.0,,12,SMALL SCHOOL,21.99662950809386,15.413486837066642,106.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,7.03,31.5,215.0
Adam Gettis-2012,Adam Gettis,141.0,G,Iowa,2012.0,WAS,203,Iowa,23.0,22.049490104919073,112.0,1.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,7.99,31.5,293.0
Akiem Hicks-2012,Akiem Hicks,89.0,DE,Regina,2012.0,NOR,1,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,54.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Amini Silatolu-2012,Amini Silatolu,40.0,G,Midwestern St.,2012.0,CAR,2,SMALL SCHOOL,23.0,28.0,107.0,18.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,7.95,31.5,311.0
Antoine McClain-2012,Antoine McClain,257.0,OG,Clemson,2012.0,,217,Clemson,22.861019084734323,19.0,91.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,8.13,27.0,329.0
Asa Jackson-2012,Asa Jackson,169.0,DB,Cal Poly-San Luis Obispo,2012.0,BAL,6,SMALL SCHOOL,22.0,19.0,118.0,3.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,6.97,34.5,191.0
B.J. Coleman-2012,B.J. Coleman,243.0,QB,Chattanooga,2012.0,GNB,7,SMALL SCHOOL,23.0,11.914019258090178,109.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,7.07,31.944338417968595,233.0
Bill Bentley-2012,Bill Bentley,85.0,DB,Louisiana,2012.0,DET,25,SMALL SCHOOL,23.0,13.0,114.0,3.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,6.99,31.5,182.0
Brian Quick-2012,Brian Quick,33.0,WR,Appalachian St.,2012.0,STL,25,SMALL SCHOOL,23.0,15.0,119.0,11.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,7.1,34.0,220.0
Caleb McSurdy-2012,Caleb McSurdy,222.0,LB,Montana,2012.0,DAL,16,SMALL SCHOOL,22.0,26.0,110.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,7.26,30.0,245.0
