key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Andre Jones Jr.-2023,Andre Jones Jr.,257.0,EDGE,Louisiana,2023.0,,25,SMALL SCHOOL,22.477139047668494,17.64527524282704,116.0,0.0,0.0,0.0,0.0,4.830716554618416,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.448163433439625,0.0,0.0,0.0,0.0,7.270943789118741,29.0,248.0
Andrei Iosivas-2023,Andrei Iosivas,206.0,WR,Princeton,2023.0,CIN,6,SMALL SCHOOL,23.0,19.0,128.0,5.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,6.85,39.0,205.0
Braeden Daniels-2023,Braeden Daniels,257.0,OT,Utah,2023.0,,146,Utah,23.092569621315906,24.879484886162146,109.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,7.53,30.5,294.0
Brent Laing-2023,Brent Laing,257.0,OG,Duluth/University of Minnesota,2023.0,,1,SMALL SCHOOL,23.192916376001975,26.31744011196929,108.29080484535245,0.0,0.0,0.0,0.0,5.0594937527172235,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.604839745393359,0.0,0.0,0.0,0.0,7.612722922160175,30.833160047882075,304.0
CJ Johnson-2023,CJ Johnson,257.0,WR,East Carolina,2023.0,,41,SMALL SCHOOL,22.38640167382741,17.34215301376355,117.06326432319426,0.0,0.0,0.0,0.0,4.684453278206039,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.314862955634942,0.0,0.0,0.0,0.0,7.13299429214606,33.543601146758846,224.0
Caleb Murphy-2023,Caleb Murphy,257.0,EDGE,Ferris St.,2023.0,,2,SMALL SCHOOL,22.478777057069234,20.3256091830944,119.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,7.28,28.5,254.0
Chris Rodriguez Jr.-2023,Chris Rodriguez Jr.,257.0,RB,Kentucky,2023.0,,118,Kentucky,22.05714841599815,17.997647011638833,116.6153446244163,0.0,0.0,0.0,0.0,4.65418623890026,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.304036823024868,0.0,0.0,0.0,0.0,7.143302269946037,33.57180893825398,217.0
Cody Mauch-2023,Cody Mauch,48.0,T,North Dakota St.,2023.0,TAM,19,SMALL SCHOOL,24.0,20.937183008435653,108.0,15.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,7.33,29.0,302.0
Colby Sorsdal-2023,Colby Sorsdal,152.0,OL,William & Mary,2023.0,DET,9,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,2.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Colton Dowell-2023,Colton Dowell,228.0,WR,UT Martin,2023.0,TEN,2,SMALL SCHOOL,24.0,20.854121736381842,118.27453908097776,0.0,0.0,0.0,0.0,4.771830923658733,0.0,0.0,0.0,0.0,0.0,76.06933827698424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.356896372761732,0.0,0.0,0.0,0.0,7.142034370931082,35.058381155141475,268.976915731967
DJ Johnson-2023,DJ Johnson,257.0,EDGE,Oregon,2023.0,,191,Oregon,22.64169435637741,28.0,110.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338070622360065,0.0,0.0,0.0,0.0,7.158910513424824,32.0,260.0
DeWayne McBride-2023,DeWayne McBride,257.0,RB,Alabama-Birmingham,2023.0,,2,SMALL SCHOOL,21.721357330164164,18.5212125013486,116.29373148970163,0.0,0.0,0.0,0.0,4.619196275824544,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.289386708810024,0.0,0.0,0.0,0.0,7.146897417501985,33.636759651768045,209.0
Eku Leota-2023,Eku Leota,257.0,EDGE,Auburn,2023.0,,200,Auburn,22.71120508885793,20.246654464880407,114.1927133530327,0.0,0.0,0.0,0.0,4.815298430222389,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41396357125689,0.0,0.0,0.0,0.0,7.292304644224776,32.629295661547545,252.0
Ethan Evans-2023,Ethan Evans,223.0,P,Wingate,2023.0,LAR,2,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,4.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Hunter Luepke-2023,Hunter Luepke,257.0,FB,North Dakota St.,2023.0,,19,SMALL SCHOOL,22.283884410957718,18.92322084027336,115.63939211520407,0.0,0.0,0.0,0.0,4.714187534367552,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.345777714575238,0.0,0.0,0.0,0.0,7.201920168364321,33.2086472833266,230.0
Isaiah Land-2023,Isaiah Land,257.0,EDGE,Florida A&M,2023.0,,7,SMALL SCHOOL,22.78797027811226,21.0,126.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,7.2,34.5,236.0
Jaelyn Duncan-2023,Jaelyn Duncan,257.0,OT,Maryland,2023.0,,117,Maryland,23.622409750477747,24.705330143887124,113.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.597872568001063,0.0,0.0,0.0,0.0,7.565197902880946,31.5,306.0
Jake Witt-2023,Jake Witt,236.0,OL,Northern Michigan,2023.0,IND,1,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,0.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Jalen Moreno-Cropper-2023,Jalen Moreno-Cropper,257.0,WR,Fresno St.,2023.0,,38,SMALL SCHOOL,21.671485209418297,13.266469194207389,121.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121275078194348,0.0,0.0,0.0,0.0,6.841170679322305,35.31267972697299,172.0
Jason Brownlee-2023,Jason Brownlee,257.0,WR,Southern Mississippi,2023.0,,1,SMALL SCHOOL,22.966590485660245,16.0,131.0,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.124296179376534,0.0,0.0,0.0,0.0,6.839137941161761,39.5,198.0
Jose Ramirez-2023,Jose Ramirez,257.0,EDGE,Eastern Michigan,2023.0,,10,SMALL SCHOOL,23.158838075067035,21.0,118.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,6.95,34.5,242.0
KJ Henry-2023,KJ Henry,257.0,EDGE,Clemson,2023.0,,217,Clemson,22.765003192900437,20.555674368730024,112.0,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.374721683362646,0.0,0.0,0.0,0.0,7.191968467735425,31.5,251.0
Kei'Trel Clark-2023,Kei'Trel Clark,257.0,CB,Louisville,2023.0,,142,Louisville,21.595030435802556,15.203032493963804,122.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,6.948756994591536,34.5,181.0
