key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Alex Hall-2008,Alex Hall,231.0,LB,St. Augustine's,2008.0,CLE,1,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,3.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Andrew Crummey-2008,Andrew Crummey,257.0,OG,Maryland,2008.0,,117,Maryland,22.432327036224514,22.591946762058342,101.87445711829713,0.0,0.0,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7130742564389845,0.0,0.0,0.0,0.0,7.787459424897196,27.729446813823245,299.0
Andy Studebaker-2008,Andy Studebaker,203.0,LB,Wheaton,2008.0,PHI,1,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,11.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Anthony Collins-2008,Anthony Collins,112.0,T,Kansas,2008.0,CIN,47,SMALL SCHOOL,22.0,26.0,97.0,16.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,7.71,22.5,317.0
Antwaun Molden-2008,Antwaun Molden,79.0,DB,Eastern Kentucky,2008.0,HOU,3,SMALL SCHOOL,23.0,23.0,129.0,4.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,6.85,37.5,198.0
Arman Shields-2008,Arman Shields,125.0,WR,Richmond,2008.0,OAK,12,SMALL SCHOOL,23.0,19.0,128.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,6.67,37.5,194.0
Barry Richardson-2008,Barry Richardson,170.0,T,Clemson,2008.0,KAN,217,Clemson,22.0,24.0,100.0,19.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,0.0,0.0,0.0,0.0,8.0,25.5,320.0
Brandon Carr-2008,Brandon Carr,140.0,DB,Grand Valley St.,2008.0,KAN,5,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,53.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Brandon Keith-2008,Brandon Keith,225.0,T,Northern Iowa,2008.0,ARI,13,SMALL SCHOOL,23.0,31.0,99.94798686872065,8.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.804763739151287,0.0,0.0,0.0,0.0,7.9170116286200525,26.0,343.0
Brian Johnston-2008,Brian Johnston,210.0,DE,Gardner-Webb,2008.0,KAN,1,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,0.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Bryan Mattison-2008,Bryan Mattison,257.0,DE,Iowa,2008.0,,203,Iowa,22.13414521295929,26.0,112.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,7.61,24.5,290.0
Bryan Smith-2008,Bryan Smith,80.0,LB,McNeese St.,2008.0,PHI,3,SMALL SCHOOL,24.0,17.0,120.0,1.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,7.22,32.5,231.0
Cary Williams-2008,Cary Williams,229.0,DB,Washburn,2008.0,TEN,4,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,30.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
