Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
10.cloverfield._tt1179933,0.0,0.0,0.0,0.0,1.0,0.0,0.5097013227599207,0.4902986772400793
10.things.i.hat_tt0147800,0.04599686339904314,0.03219515745869147,0.055464236793520354,0.008317286376961202,0.8762471959184482,0.023662147049676074,0.5853831246273107,0.4146168753726893
101_dalmations,0.0,0.015142222005873857,0.0,0.0,0.9848577779941262,0.0,0.5443704458199483,0.4556295541800517
102.dalmatians_tt0211181,0.0,8.108238938909866e-05,0.025987510891664248,0.0,0.9982754864943362,0.0,0.5194696502510792,0.4805303497489208
12.years.a.slav_tt2024544,0.5967717894406527,0.0050537381344630105,0.0039020946104965874,0.0,0.4016694124107633,0.0,0.8054196435525784,0.19458035644742153
127.hours_tt1542344,0.0,0.0,0.08547349688572518,0.0,0.914526503114274,0.0,0.8296553251162447,0.17034467488375526
12_monkeys,0.018199564993505644,0.003640681561412003,0.005834159538247523,3.304819656759894e-05,0.9739595582301533,0.002198089353100767,0.6589862736433998,0.3410137263566002
13.going.on.30_tt0337563,0.034267121303291646,0.0014738546797114693,0.06787011655635045,0.016060855935162287,0.9287290231998395,0.0,0.2255318383067564,0.7744681616932436
1408_tt0450385,0.11107272872213217,0.0,0.0030664576302713046,0.0015332288151356523,0.8827943560173251,0.0015332288151356523,0.9033600161867547,0.09663998381324532
17.again_tt0974661,0.00168594290506307,0.0,0.015123694049407735,0.0074260106921974905,0.9757643523533311,0.0,0.6637480210982811,0.33625197890171893
1917,0.059437061370762975,0.0021203523965954907,0.0032925190383753925,0.0,0.9401213763092224,0.0,1.0,0.0
2.guns_tt1272878,0.41667560213237315,0.0022284714284269195,0.0545828823452057,0.0022284714284269195,0.5731015507247845,0.004456942856853839,0.9284532231372966,0.07154677686270335
2010.the.year.w_tt0086837,0.0,0.0,0.0027034684321970708,0.0,0.9910336703349142,0.00896632966508604,0.8387644849144511,0.16123551508554892
2012m,0.28771327939392943,0.022360485786911667,0.022740941336744723,0.026405941087538035,0.6822016580551905,0.00017942881826186642,0.7935462923304365,0.20645370766956353
21_jump_street,0.06246022297595783,0.0,0.006409997229647267,0.0,0.9349483741024429,0.0,0.8780621179472824,0.12193788205271758
21_tt0478087,0.0565477355524267,0.10085994077647223,0.040978514108206,0.01300455225623963,0.820329833378583,0.0002077243138468144,0.8137575225755058,0.18624247742449418
