key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec_td,rec_yards,receptions,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Adam Grant-2011,Adam Grant,257.0,OT,Arizona,2011.0,,87,Arizona,22.138625650266412,25.0,99.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.25,26.5,325.0
Adam Haayer-2001,Adam Haayer,199.0,T,Minnesota,2001.0,TEN,95,Minnesota,24.0,23.0,109.77844674075718,4.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.527583600246294,0.0,0.0,0.0,0.0,7.377129654074631,32.677896787859396,298.0
Adam Hayward-2007,Adam Hayward,182.0,LB,Portland St.,2007.0,TAM,4,SMALL SCHOOL,23.0,20.268169598943018,115.84729867783396,11.0,0.0,0.0,0.0,4.772334505516502,0.0,0.0,0.0,0.0,0.0,74.57575807319913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945409,0.0,0.0,0.0,0.0,7.22243284116216,33.60095806470615,251.65830499645529
Adam Kieft-2005,Adam Kieft,153.0,T,Central Michigan,2005.0,CIN,34,SMALL SCHOOL,24.01687397244371,28.0,110.0,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,7.78,33.0,337.0
Adam Koets-2007,Adam Koets,189.0,T,Oregon St.,2007.0,NYG,61,Oregon St.,23.0,20.0,106.0,3.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,7.44,32.0,298.0
Adam Shead-2015,Adam Shead,257.0,OG,Oklahoma,2015.0,,269,Oklahoma,21.80277622789128,26.0,89.44071562870234,0.0,0.0,0.0,0.0,5.74,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.993946817899371,0.0,0.0,0.0,0.0,8.288100084719574,23.007427516414396,338.0
Adam Snyder-2005,Adam Snyder,94.0,T,Oregon,2005.0,SFO,191,Oregon,23.0,21.0,93.0,34.0,0.0,0.0,0.0,5.34,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,0.0,7.83,28.5,316.0
Adam Stenavich-2006,Adam Stenavich,257.0,OG,Michigan,2006.0,,240,Michigan,21.58530609921339,24.0,93.6496632950429,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.868549095931872,0.0,0.0,0.0,0.0,8.08064153042352,24.490546864099343,310.0
Adam Terry-2005,Adam Terry,64.0,T,Syracuse,2005.0,BAL,100,Syracuse,23.0,25.637823147824662,96.0,9.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,7.89,28.0,330.0
Adam Ulatoski-2010,Adam Ulatoski,257.0,OG,Texas,2010.0,,190,Texas,21.59825429022358,24.0,94.0,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,7.98,26.0,300.0
Adewale Ogunleye-2000,Adewale Ogunleye,257.0,DE,Indiana,2000.0,,71,Indiana,22.859487147762476,19.589086195527415,114.73243961258163,0.0,0.0,0.0,0.0,4.8186246404504125,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409816683549947,0.0,0.0,0.0,0.0,7.2703685797146145,32.707049070848285,253.0
Adrian Awasom-2005,Adrian Awasom,257.0,DE,North Texas,2005.0,,10,SMALL SCHOOL,22.801112979044163,23.0,107.0,0.0,0.0,0.0,0.0,4.93,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,7.57,32.5,279.0
Adrian Klemm-2000,Adrian Klemm,46.0,G,Hawaii,2000.0,NWE,61,Hawaii,23.0,24.0,106.71622454942724,10.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.669772210334942,0.0,0.0,0.0,0.0,7.736324621680375,29.20014969724079,307.0
Adrian McPherson-2005,Adrian McPherson,152.0,QB,Florida St.,2005.0,NOR,122,Florida St.,22.43007149334484,22.0,128.0,0.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,6.93,34.5,218.0
Adrian Peterson-2002,Adrian Peterson,199.0,RB,Georgia Southern,2002.0,CHI,12,SMALL SCHOOL,23.0,14.0,119.0,11.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,7.59,34.0,214.0
Adrian Tracy-2010,Adrian Tracy,184.0,DE,William & Mary,2010.0,NYG,9,SMALL SCHOOL,23.0,20.0,110.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,0.0,7.08,35.5,248.0
Adrien Clarke-2004,Adrien Clarke,227.0,G,Ohio St.,2004.0,PHI,194,Ohio St.,23.0,24.435370700837808,102.0,8.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,7.9,26.0,329.0
Ahmad Childress-2004,Ahmad Childress,257.0,DT,Alabama,2004.0,,337,Alabama,21.156644097842275,31.48771996585546,86.0,0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,8.75,22.0,351.0
Akwasi Owusu-Ansah-2010,Akwasi Owusu-Ansah,126.0,DB,Indiana (PA),2010.0,DAL,7,SMALL SCHOOL,22.0,23.07805355932885,120.0,1.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,6.84,35.5,207.0
