key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Beau Sandland-2016,Beau Sandland,252.0,TE,Montana St.,2016.0,CAR,6,SMALL SCHOOL,23.0,23.0,124.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,7.1,35.0,253.0
Ben Braunecker-2016,Ben Braunecker,257.0,TE,Harvard,2016.0,,8,SMALL SCHOOL,23.777823500785058,20.0,121.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,6.9,35.5,250.0
Carson Wentz-2016,Carson Wentz,257.0,QB,North Dakota State,2016.0,,9,SMALL SCHOOL,23.021635558322085,16.848073081399605,118.0,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,6.86,30.5,237.0
Cleveland Wallace III-2016,Cleveland Wallace III,257.0,CB,San Jose State,2016.0,,26,SMALL SCHOOL,21.80737597673473,13.915044552024426,123.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.223450861536511,0.0,0.0,0.0,0.0,7.027744766820243,35.5,188.0
Cole Toner-2016,Cole Toner,170.0,T,Harvard,2016.0,ARI,8,SMALL SCHOOL,22.0,22.0,103.0,2.0,0.0,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,7.88,26.0,306.0
David Onyemata-2016,David Onyemata,120.0,DT,Manitoba,2016.0,NOR,1,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,43.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
DeAndre Houston-Carson-2016,DeAndre Houston-Carson,185.0,S,William & Mary,2016.0,CHI,9,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,11.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Deandre Houston-Carson-2016,Deandre Houston-Carson,257.0,S,William & Mary,2016.0,,9,SMALL SCHOOL,21.78513975386504,13.0,115.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,7.15,32.5,201.0
Deiondre Hall-2016,Deiondre Hall,257.0,CB,Northern Iowa,2016.0,,13,SMALL SCHOOL,22.344633871888043,14.36307151970533,127.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,7.07,37.0,199.0
Deiondre' Hall-2016,Deiondre' Hall,127.0,CB,Northern Iowa,2016.0,CHI,13,SMALL SCHOOL,22.0,19.682217461506724,113.42005827468732,2.0,0.0,0.0,0.0,4.772838087374288,0.0,0.0,0.0,0.0,0.0,73.08217786941191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397700513129228,0.0,0.0,0.0,0.0,7.302831311393288,32.14353497427021,234.33969426095393
Devaunte Sigler-2016,Devaunte Sigler,257.0,DT,Jacksonville State,2016.0,,4,SMALL SCHOOL,21.96421730608802,23.0,100.3346697582866,0.0,0.0,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,7.9,25.0,298.0
Dominique Robertson-2016,Dominique Robertson,257.0,OT,West Georgia,2016.0,,4,SMALL SCHOOL,21.726032640352866,30.0,100.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,0.0,8.42,28.5,324.0
Harlan Miller-2016,Harlan Miller,205.0,CB,Southeastern Louisiana,2016.0,ARI,3,SMALL SCHOOL,22.0,6.0,118.0,2.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,7.44,35.5,182.0
James Bradberry-2016,James Bradberry,257.0,CB,Samford,2016.0,,9,SMALL SCHOOL,22.877513821766033,16.0,124.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,6.91,36.0,211.0
James Cowser-2016,James Cowser,257.0,DE,Southern Utah,2016.0,,9,SMALL SCHOOL,23.1328126750006,21.0,111.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,6.8,31.5,248.0
