key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
Aaron Fairooz-2007,Aaron Fairooz,257.0,WR,Central Arkansas,2007.0,,11,SMALL SCHOOL,23.14676761295812,12.930757073132384,125.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,6.89,36.0,209.0
Aaron King-2007,Aaron King,257.0,LS,Texas-El Paso,2007.0,,37,SMALL SCHOOL,22.27133100981737,19.923778017301288,113.87060194773534,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391327546935772,0.0,0.0,0.0,0.0,7.281803245946572,32.598608425812955,239.0
Adam Hayward-2007,Adam Hayward,182.0,LB,Portland St.,2007.0,TAM,4,SMALL SCHOOL,23.0,20.268169598944326,115.8472986778325,11.0,0.0,0.0,0.0,4.772334505516511,0.0,0.0,0.0,0.0,0.0,74.57575807319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377298442945481,0.0,0.0,0.0,0.0,7.222432841162187,33.600958064705836,251.65830499646074
Adam Koets-2007,Adam Koets,189.0,T,Oregon St.,2007.0,NYG,61,Oregon St.,23.0,20.0,106.0,3.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,7.44,32.0,298.0
Allen Barbre-2007,Allen Barbre,119.0,T,Missouri Southern,2007.0,GNB,2,SMALL SCHOOL,23.0,28.0,105.0,23.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,7.4,32.0,300.0
Alonzo Coleman-2007,Alonzo Coleman,257.0,RB,Kansas State,2007.0,,68,Kansas State,21.478403098804694,27.0,120.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198949733814299,0.0,0.0,0.0,0.0,7.033488464854267,35.35258769536708,207.0
Andrew Carnahan-2007,Andrew Carnahan,252.0,T,Arizona St.,2007.0,JAX,72,Arizona St.,23.27507662453073,22.0,106.16204255665676,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66045910767439,0.0,0.0,0.0,0.0,7.6584557033803025,29.31448910877255,306.0
Andy Alleman-2007,Andy Alleman,88.0,G,Akron,2007.0,NOR,16,SMALL SCHOOL,23.0,27.0,106.0,5.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,7.8,30.0,305.0
Bo Smith-2007,Bo Smith,257.0,CB,Weber State,2007.0,,4,SMALL SCHOOL,21.92581557283543,14.0,119.25543715837145,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21381729704761,0.0,0.0,0.0,0.0,6.975606517971688,33.5,193.0
Brandon Frye-2007,Brandon Frye,163.0,T,Virginia Tech,2007.0,HOU,195,Virginia Tech,24.0,34.0,103.0,2.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,7.5,32.5,301.0
