IMDB ID,Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
tt0369441,fun.with.dick.a_tt0369441,0.0105510563830059,0.001606928441867,0.0153198954261724,0.0001805346209198,0.9758620102359726,0.0,0.7611475469900707,0.2388524530099293
tt0082427,funhouse_tt0082427,0.0,0.0,0.1751509766807021,0.0,0.840898262963392,0.0155032770631333,0.5070595677133685,0.4929404322866316
tt0095188,funny.farm_tt0095188,0.0376343638377059,0.0,0.0338226355711347,0.0,0.9599801836756786,0.0,0.6638098005035832,0.3361901994964168
tt2820852,furious_7,0.3422884308686242,0.0158538443566327,0.2332192233068879,0.0263787166177381,0.6124051481568027,0.0171388519244639,0.777662520672884,0.2223374793271159
tt1392190,fury_road,0.1088910133843212,0.0,0.0196768642447418,0.0,0.9099694072657742,0.0,0.3577121559633027,0.6422878440366973
tt2713180,fury_tt2713180,0.0,0.010440881763527,0.1079509018036072,0.0154809619238476,0.8421184034736131,0.0365372411489645,0.9113438277822636,0.0886561722177362
tt0089118,fx_tt0089118,0.0066000792860388,0.0,0.0834311516780599,0.0,0.9617058101196064,0.0,0.8833137669972915,0.1166862330027084
tt0119173,g.i..jane_tt0119173,0.0381101429659081,0.0,0.0342970137890195,0.0221713476017257,0.9295607393621514,0.0,0.5153282109286633,0.4846717890713366
tt0177789,galaxy.quest_tt0177789,0.0791741094882841,0.0025185194914363,0.0217433277293264,0.007521409057476,0.8908190606283494,0.007521409057476,0.8255119886450043,0.1744880113549957
tt2704998,game.night_tt2704998,0.1747144374647554,0.0,0.0086849042004904,0.0,0.8502544162196897,0.0,0.6486483136457727,0.3513516863542273
tt0492956,game_plan,0.5648850620803292,0.0455661594768192,0.2277272694133172,0.097598442706017,0.3059565036708683,0.1366984784304576,0.6480370016208554,0.3519629983791445
tt0119174,game_tt0119174,0.0,0.0057741883509224,0.0088626842826069,0.0017250060420526,0.9907757995649722,0.0,0.853001699074948,0.1469983009250519
tt0083987,gandhi,0.0,0.0415277515207455,0.1722773928805756,0.3380403233877872,0.6143461628281977,0.0,0.8811713808653362,0.1188286191346638
tt0217505,gangs.of.new.yo_tt0217505,0.0241769938417091,0.0,0.0146785270787399,0.0,0.9758230061582908,0.0,0.8851638401348535,0.1148361598651465
